"lab","sample","concentration","method","transit_time"
130,547,70.9,"Roche Vitamin D Total II",4
130,548,89.5,"Roche Vitamin D Total II",4
130,549,65.2,"Roche Vitamin D Total II",4
130,550,26.3,"Roche Vitamin D Total II",4
131,546,56.3,"DiaSorin Liaison Total",4
131,547,71.3,"DiaSorin Liaison Total",4
131,548,92.3,"DiaSorin Liaison Total",4
131,549,67,"DiaSorin Liaison Total",4
131,550,27.5,"DiaSorin Liaison Total",4
132,546,60.4,"Roche Total 25OHD",1
132,547,80,"Roche Total 25OHD",1
132,548,95.1,"Roche Total 25OHD",1
132,549,60.5,"Roche Total 25OHD",1
132,550,26.1,"Roche Total 25OHD",1
133,546,56.6,"DiaSorin Liaison Total",8
133,547,73.6,"DiaSorin Liaison Total",8
133,548,87.8,"DiaSorin Liaison Total",8
133,549,65.4,"DiaSorin Liaison Total",8
133,550,28.4,"DiaSorin Liaison Total",8
134,546,46,"LC-MS-MS",8
134,547,58,"LC-MS-MS",8
134,548,92,"LC-MS-MS",8
134,549,57,"LC-MS-MS",8
134,550,20,"LC-MS-MS",8
135,546,59.8,"DiaSorin Liaison Total",7
135,547,77.3,"DiaSorin Liaison Total",7
135,548,99.8,"DiaSorin Liaison Total",7
135,549,73.3,"DiaSorin Liaison Total",7
135,550,31,"DiaSorin Liaison Total",7
136,546,52.4,"Roche Vitamin D Total II",4
136,547,76,"Roche Vitamin D Total II",4
136,548,92.6,"Roche Vitamin D Total II",4
136,549,65.5,"Roche Vitamin D Total II",4
136,550,32.3,"Roche Vitamin D Total II",4
137,546,48.5,"LC-MS-MS",7
137,547,68.8,"LC-MS-MS",7
137,548,85.8,"LC-MS-MS",7
137,549,69,"LC-MS-MS",7
137,550,22.3,"LC-MS-MS",7
138,546,56.7,"Roche Total 25OHD",4
138,547,80.8,"Roche Total 25OHD",4
138,548,95.5,"Roche Total 25OHD",4
138,549,64.1,"Roche Total 25OHD",4
138,550,26.5,"Roche Total 25OHD",4
139,546,64.6,"Siemens ADVIA Centaur",8
139,547,83.6,"Siemens ADVIA Centaur",8
139,548,109.6,"Siemens ADVIA Centaur",8
139,549,73.6,"Siemens ADVIA Centaur",8
139,550,42.3,"Siemens ADVIA Centaur",8
140,546,57,"HPLC",2
140,547,86,"HPLC",2
140,548,113,"HPLC",2
140,549,68,"HPLC",2
140,550,29,"HPLC",2
141,546,60,"DiaSorin Liaison Total",8
141,547,80,"DiaSorin Liaison Total",8
141,548,97.5,"DiaSorin Liaison Total",8
141,549,72.5,"DiaSorin Liaison Total",8
141,550,30,"DiaSorin Liaison Total",8
142,546,55,"DiaSorin Liaison Total",8
142,547,75,"DiaSorin Liaison Total",8
142,548,92.5,"DiaSorin Liaison Total",8
142,549,65,"DiaSorin Liaison Total",8
142,550,27.5,"DiaSorin Liaison Total",8
143,546,60,"DiaSorin Liaison Total",4
143,547,80,"DiaSorin Liaison Total",4
143,548,97.5,"DiaSorin Liaison Total",4
143,549,70,"DiaSorin Liaison Total",4
143,550,30,"DiaSorin Liaison Total",4
144,546,41.5,"Roche Vitamin D Total II",8
144,547,67,"Roche Vitamin D Total II",8
144,548,75.3,"Roche Vitamin D Total II",8
144,549,56.3,"Roche Vitamin D Total II",8
144,550,21.2,"Roche Vitamin D Total II",8
145,546,53,"IDS-iSYS New",7
145,547,79.8,"IDS-iSYS New",7
145,548,96.3,"IDS-iSYS New",7
145,549,67.3,"IDS-iSYS New",7
145,550,24.3,"IDS-iSYS New",7
146,546,65,"DiaSorin Liaison Total",8
146,547,95,"DiaSorin Liaison Total",8
146,548,114,"DiaSorin Liaison Total",8
146,549,86,"DiaSorin Liaison Total",8
146,550,34,"DiaSorin Liaison Total",8
147,546,55.5,"DiaSorin Liaison Total",6
147,547,73.5,"DiaSorin Liaison Total",6
147,548,89,"DiaSorin Liaison Total",6
147,549,63,"DiaSorin Liaison Total",6
147,550,28,"DiaSorin Liaison Total",6
148,546,51.9,"Abbott Architect - New (5P02)",4
148,547,73.9,"Abbott Architect - New (5P02)",4
148,548,97.3,"Abbott Architect - New (5P02)",4
148,549,62.6,"Abbott Architect - New (5P02)",4
148,550,24.2,"Abbott Architect - New (5P02)",4
149,546,56.1,"DiaSorin Liaison Total",7
149,547,71.6,"DiaSorin Liaison Total",7
149,548,90.8,"DiaSorin Liaison Total",7
149,549,65.4,"DiaSorin Liaison Total",7
149,550,28.4,"DiaSorin Liaison Total",7
150,546,52,"DiaSorin Liaison Total",7
150,547,70.3,"DiaSorin Liaison Total",7
150,548,86.8,"DiaSorin Liaison Total",7
150,549,65.8,"DiaSorin Liaison Total",7
150,550,29,"DiaSorin Liaison Total",7
151,546,59,"DiaSorin Liaison Total",4
151,547,76.9,"DiaSorin Liaison Total",4
151,548,97.1,"DiaSorin Liaison Total",4
151,549,70.9,"DiaSorin Liaison Total",4
151,550,32.4,"DiaSorin Liaison Total",4
152,546,54,"DiaSorin Liaison Total",14
152,547,75,"DiaSorin Liaison Total",14
152,548,93.2,"DiaSorin Liaison Total",14
152,549,69.5,"DiaSorin Liaison Total",14
152,550,30.2,"DiaSorin Liaison Total",14
153,546,51.7,"DiaSorin Liaison Total",9
153,547,68.5,"DiaSorin Liaison Total",9
153,548,87.9,"DiaSorin Liaison Total",9
153,549,63.1,"DiaSorin Liaison Total",9
153,550,26.6,"DiaSorin Liaison Total",9
154,546,52.5,"Roche Total 25OHD",14
154,547,64,"Roche Total 25OHD",14
154,548,87.8,"Roche Total 25OHD",14
154,549,55.5,"Roche Total 25OHD",14
154,550,28.5,"Roche Total 25OHD",14
155,546,57.3,"DiaSorin Liaison Total",9
155,547,79,"DiaSorin Liaison Total",9
155,548,98.5,"DiaSorin Liaison Total",9
155,549,73.5,"DiaSorin Liaison Total",9
155,550,32,"DiaSorin Liaison Total",9
156,546,58,"DiaSorin Liaison Total",7
156,547,69.5,"DiaSorin Liaison Total",7
156,548,86.4,"DiaSorin Liaison Total",7
156,549,68.5,"DiaSorin Liaison Total",7
156,550,28.6,"DiaSorin Liaison Total",7
157,546,56.3,"DiaSorin Liaison Total",7
157,547,79,"DiaSorin Liaison Total",7
157,548,96.7,"DiaSorin Liaison Total",7
157,549,70.3,"DiaSorin Liaison Total",7
157,550,31.5,"DiaSorin Liaison Total",7
158,546,56,"DiaSorin Liaison Total",10
158,547,78.5,"DiaSorin Liaison Total",10
158,548,95.8,"DiaSorin Liaison Total",10
158,549,76,"DiaSorin Liaison Total",10
158,550,31.5,"DiaSorin Liaison Total",10
159,546,53.8,"IDS-iSYS",7
159,547,67.5,"IDS-iSYS",7
159,548,83.5,"IDS-iSYS",7
159,549,56.8,"IDS-iSYS",7
159,550,18.5,"IDS-iSYS",7
160,546,50,"Ortho Total 25OHD",9
160,547,71.3,"Ortho Total 25OHD",9
160,548,79.8,"Ortho Total 25OHD",9
160,549,66,"Ortho Total 25OHD",9
160,550,20.5,"Ortho Total 25OHD",9
161,546,52,"DiaSorin Liaison Total",9
161,547,65,"DiaSorin Liaison Total",9
161,548,80,"DiaSorin Liaison Total",9
161,549,57,"DiaSorin Liaison Total",9
161,550,27,"DiaSorin Liaison Total",9
162,546,52.8,"DiaSorin Liaison Total",4
162,547,73.5,"DiaSorin Liaison Total",4
162,548,91.3,"DiaSorin Liaison Total",4
162,549,67.5,"DiaSorin Liaison Total",4
162,550,28,"DiaSorin Liaison Total",4
163,546,62.8,"DiaSorin Liaison Total",8
163,547,79.8,"DiaSorin Liaison Total",8
163,548,105,"DiaSorin Liaison Total",8
163,549,61,"DiaSorin Liaison Total",8
163,550,30.8,"DiaSorin Liaison Total",8
164,546,57.3,"DiaSorin Liaison Total",4
164,547,79.8,"DiaSorin Liaison Total",4
164,548,93.5,"DiaSorin Liaison Total",4
164,549,72.5,"DiaSorin Liaison Total",4
164,550,31,"DiaSorin Liaison Total",4
165,546,48,"IDS EIA",7
165,547,83,"IDS EIA",7
165,548,95,"IDS EIA",7
165,549,68,"IDS EIA",7
165,550,30,"IDS EIA",7
166,546,50.5,"DiaSorin Liaison Total",7
166,547,72,"DiaSorin Liaison Total",7
166,548,87.6,"DiaSorin Liaison Total",7
166,549,66.5,"DiaSorin Liaison Total",7
166,550,25.4,"DiaSorin Liaison Total",7
167,546,50.2,"LC-MS-MS",7
167,547,69.4,"LC-MS-MS",7
167,548,90.1,"LC-MS-MS",7
167,549,63.1,"LC-MS-MS",7
167,550,24.5,"LC-MS-MS",7
168,546,54.5,"LC-MS-MS",7
168,547,69.5,"LC-MS-MS",7
168,548,87.5,"LC-MS-MS",7
168,549,62.8,"LC-MS-MS",7
168,550,24,"LC-MS-MS",7
169,546,53.3,"Abbott Alinity i",6
169,547,72,"Abbott Alinity i",6
169,548,99,"Abbott Alinity i",6
169,549,61.8,"Abbott Alinity i",6
169,550,22,"Abbott Alinity i",6
170,546,49.5,"IDS-iSYS",3
170,547,58.8,"IDS-iSYS",3
170,548,75.3,"IDS-iSYS",3
170,549,56,"IDS-iSYS",3
170,550,17.5,"IDS-iSYS",3
171,546,54.3,"DiaSorin Liaison Total",12
171,547,76.3,"DiaSorin Liaison Total",12
171,548,85.8,"DiaSorin Liaison Total",12
171,549,69.8,"DiaSorin Liaison Total",12
171,550,26.9,"DiaSorin Liaison Total",12
172,546,54.3,"Roche Total 25OHD",8
172,547,79,"Roche Total 25OHD",8
172,548,91.4,"Roche Total 25OHD",8
172,549,72,"Roche Total 25OHD",8
172,550,30.6,"Roche Total 25OHD",8
173,546,52.5,"Abbott Architect - New (5P02)",7
173,547,74.8,"Abbott Architect - New (5P02)",7
173,548,101.8,"Abbott Architect - New (5P02)",7
173,549,64,"Abbott Architect - New (5P02)",7
173,550,26,"Abbott Architect - New (5P02)",7
174,546,46,"Roche Vitamin D Total II",2
174,547,68,"Roche Vitamin D Total II",2
174,548,85,"Roche Vitamin D Total II",2
174,549,20,"Roche Vitamin D Total II",2
174,550,58,"Roche Vitamin D Total II",2
175,546,43.5,"LC-MS-MS",8
175,547,66.3,"LC-MS-MS",8
175,548,77,"LC-MS-MS",8
175,549,53.7,"LC-MS-MS",8
175,550,22.6,"LC-MS-MS",8
176,546,58.3,"DiaSorin Liaison Total",6
176,547,76,"DiaSorin Liaison Total",6
176,548,96.5,"DiaSorin Liaison Total",6
176,549,72.5,"DiaSorin Liaison Total",6
176,550,31,"DiaSorin Liaison Total",6
177,546,57,"IDS-iSYS",7
177,547,65,"IDS-iSYS",7
177,548,88.5,"IDS-iSYS",7
177,549,61.8,"IDS-iSYS",7
177,550,22.8,"IDS-iSYS",7
178,546,55.8,"IDS-iSYS New",7
178,547,67.5,"IDS-iSYS New",7
178,548,91.3,"IDS-iSYS New",7
178,549,63.6,"IDS-iSYS New",7
178,550,27.7,"IDS-iSYS New",7
179,546,57,"DiaSorin Liaison Total",7
179,547,72,"DiaSorin Liaison Total",7
179,548,94.3,"DiaSorin Liaison Total",7
179,549,66.3,"DiaSorin Liaison Total",7
179,550,29.3,"DiaSorin Liaison Total",7
180,546,49.9,"Roche Total 25OHD",9
180,547,73.3,"Roche Total 25OHD",9
180,548,79.2,"Roche Total 25OHD",9
180,549,57.6,"Roche Total 25OHD",9
180,550,28.5,"Roche Total 25OHD",9
181,546,59.8,"DiaSorin Liaison Total",8
181,547,76.5,"DiaSorin Liaison Total",8
181,548,101.8,"DiaSorin Liaison Total",8
181,549,70,"DiaSorin Liaison Total",8
181,550,28,"DiaSorin Liaison Total",8
182,546,49.3,"Abbott Architect - New (5P02)",7
182,547,70.3,"Abbott Architect - New (5P02)",7
182,548,94,"Abbott Architect - New (5P02)",7
182,549,59,"Abbott Architect - New (5P02)",7
182,550,22.8,"Abbott Architect - New (5P02)",7
183,546,45.5,"Automated IDS EIA",4
183,547,57.3,"Automated IDS EIA",4
183,548,73,"Automated IDS EIA",4
183,549,54,"Automated IDS EIA",4
183,550,28.3,"Automated IDS EIA",4
184,546,59,"LC-MS-MS",1
184,547,87,"LC-MS-MS",1
184,548,100,"LC-MS-MS",1
184,549,69,"LC-MS-MS",1
184,550,27,"LC-MS-MS",1
185,546,53.3,"IDS-iSYS New",8
185,547,69,"IDS-iSYS New",8
185,548,88.2,"IDS-iSYS New",8
185,549,60.9,"IDS-iSYS New",8
185,550,24.3,"IDS-iSYS New",8
186,546,49.8,"Roche Vitamin D Total II",8
186,547,66.8,"Roche Vitamin D Total II",8
186,548,83.8,"Roche Vitamin D Total II",8
186,549,56.8,"Roche Vitamin D Total II",8
186,550,22.4,"Roche Vitamin D Total II",8
187,546,49.4,"Abbott Architect - New (5P02)",4
187,547,73.4,"Abbott Architect - New (5P02)",4
187,548,95.6,"Abbott Architect - New (5P02)",4
187,549,60.8,"Abbott Architect - New (5P02)",4
187,550,22.7,"Abbott Architect - New (5P02)",4
188,546,43.8,"LC-MS-MS",4
188,547,66.6,"LC-MS-MS",4
188,548,85.4,"LC-MS-MS",4
188,549,54.4,"LC-MS-MS",4
188,550,21,"LC-MS-MS",4
189,546,43,"Beckman Unicel Dxi Total 25OHD",1
189,547,57,"Beckman Unicel Dxi Total 25OHD",1
189,548,80,"Beckman Unicel Dxi Total 25OHD",1
189,549,53,"Beckman Unicel Dxi Total 25OHD",1
189,550,21,"Beckman Unicel Dxi Total 25OHD",1
190,546,55,"Beckman Unicel Dxi Total 25OHD",1
190,547,67.7,"Beckman Unicel Dxi Total 25OHD",1
190,548,90.5,"Beckman Unicel Dxi Total 25OHD",1
190,549,56.2,"Beckman Unicel Dxi Total 25OHD",1
190,550,30.3,"Beckman Unicel Dxi Total 25OHD",1
191,546,46.5,"HPLC",2
191,547,66.1,"HPLC",2
191,548,83.8,"HPLC",2
191,549,64.7,"HPLC",2
191,550,25.9,"HPLC",2
192,546,46.8,"LC-MS-MS",7
192,547,69.3,"LC-MS-MS",7
192,548,89,"LC-MS-MS",7
192,549,54.3,"LC-MS-MS",7
192,550,22.3,"LC-MS-MS",7
193,546,50.8,"LC-MS-MS",7
193,547,62,"LC-MS-MS",7
193,548,83.4,"LC-MS-MS",7
193,549,60.2,"LC-MS-MS",7
193,550,29.8,"LC-MS-MS",7
194,546,57.5,"LC-MS-MS",9
194,547,77.9,"LC-MS-MS",9
194,548,91.6,"LC-MS-MS",9
194,549,65,"LC-MS-MS",9
194,550,25,"LC-MS-MS",9
195,546,57.4,"Siemens ADVIA Centaur",7
195,547,67.3,"Siemens ADVIA Centaur",7
195,548,89,"Siemens ADVIA Centaur",7
195,549,63,"Siemens ADVIA Centaur",7
195,550,32.6,"Siemens ADVIA Centaur",7
196,546,59.5,"IDS-iSYS",4
196,547,73.8,"IDS-iSYS",4
196,548,88,"IDS-iSYS",4
196,549,62.8,"IDS-iSYS",4
196,550,22.5,"IDS-iSYS",4
197,546,51.5,"DiaSorin Liaison Total",21
197,547,75.5,"DiaSorin Liaison Total",21
197,548,99.3,"DiaSorin Liaison Total",21
197,549,72.5,"DiaSorin Liaison Total",21
197,550,34.8,"DiaSorin Liaison Total",21
198,546,49.2,"Roche Vitamin D Total II",7
198,547,69.6,"Roche Vitamin D Total II",7
198,548,81.4,"Roche Vitamin D Total II",7
198,549,56.6,"Roche Vitamin D Total II",7
198,550,20.7,"Roche Vitamin D Total II",7
199,546,52.8,"DiaSorin Liaison Total",9
199,547,67.5,"DiaSorin Liaison Total",9
199,548,89.8,"DiaSorin Liaison Total",9
199,549,65.3,"DiaSorin Liaison Total",9
199,550,28.3,"DiaSorin Liaison Total",9
200,546,50,"Beckman Unicel Dxi Total 25OHD",7
200,547,77.5,"Beckman Unicel Dxi Total 25OHD",7
200,548,75,"Beckman Unicel Dxi Total 25OHD",7
200,549,62.5,"Beckman Unicel Dxi Total 25OHD",7
200,550,25,"Beckman Unicel Dxi Total 25OHD",7
201,546,56.7,"LC-MS-MS",7
201,547,79.3,"LC-MS-MS",7
201,548,104.1,"LC-MS-MS",7
201,549,68.3,"LC-MS-MS",7
201,550,27,"LC-MS-MS",7
202,546,54,"IDS-iSYS",8
202,547,73,"IDS-iSYS",8
202,548,89.5,"IDS-iSYS",8
202,549,57.8,"IDS-iSYS",8
202,550,18.8,"IDS-iSYS",8
203,546,60.3,"DiaSorin Liaison Total",7
203,547,74,"DiaSorin Liaison Total",7
203,548,95.3,"DiaSorin Liaison Total",7
203,549,69,"DiaSorin Liaison Total",7
203,550,30.8,"DiaSorin Liaison Total",7
204,546,57.5,"DiaSorin Liaison Total",7
204,547,72.8,"DiaSorin Liaison Total",7
204,548,93,"DiaSorin Liaison Total",7
204,549,69,"DiaSorin Liaison Total",7
204,550,29.5,"DiaSorin Liaison Total",7
205,546,60.5,"Abbott Alinity i",7
205,547,75,"Abbott Alinity i",7
205,548,101.8,"Abbott Alinity i",7
205,549,57.3,"Abbott Alinity i",7
205,550,22.5,"Abbott Alinity i",7
206,546,58,"DiaSorin Liaison Total",4
206,547,76.8,"DiaSorin Liaison Total",4
206,548,96,"DiaSorin Liaison Total",4
206,549,65.5,"DiaSorin Liaison Total",4
206,550,31.8,"DiaSorin Liaison Total",4
207,546,50.3,"Abbott Architect - New (5P02)",1
207,547,68.3,"Abbott Architect - New (5P02)",1
207,548,90.7,"Abbott Architect - New (5P02)",1
207,549,60.9,"Abbott Architect - New (5P02)",1
207,550,21.6,"Abbott Architect - New (5P02)",1
208,546,41.5,"DiaSorin Liaison Total",16
208,547,81.5,"DiaSorin Liaison Total",16
208,548,103.5,"DiaSorin Liaison Total",16
208,549,76.3,"DiaSorin Liaison Total",16
208,550,32.8,"DiaSorin Liaison Total",16
209,546,57.5,"LC-MS-MS",4
209,547,82.5,"LC-MS-MS",4
209,548,97.5,"LC-MS-MS",4
209,549,65,"LC-MS-MS",4
209,550,22.5,"LC-MS-MS",4
210,546,62.5,"LC-MS-MS",8
210,547,65,"LC-MS-MS",8
210,548,85,"LC-MS-MS",8
210,549,57.5,"LC-MS-MS",8
210,550,20,"LC-MS-MS",8
211,546,44.5,"Fujirebio Lumipulse G 25OH Vit D",6
211,547,64.5,"Fujirebio Lumipulse G 25OH Vit D",6
211,548,81.8,"Fujirebio Lumipulse G 25OH Vit D",6
211,549,54,"Fujirebio Lumipulse G 25OH Vit D",6
211,550,15.8,"Fujirebio Lumipulse G 25OH Vit D",6
212,546,45.5,"Beckman Unicel Dxi Total 25OHD",11
212,547,65,"Beckman Unicel Dxi Total 25OHD",11
212,548,79.5,"Beckman Unicel Dxi Total 25OHD",11
212,549,44.8,"Beckman Unicel Dxi Total 25OHD",11
212,550,20.3,"Beckman Unicel Dxi Total 25OHD",11
213,546,57.5,"DiaSorin Liaison Total",4
213,547,76,"DiaSorin Liaison Total",4
213,548,96.8,"DiaSorin Liaison Total",4
213,549,72.3,"DiaSorin Liaison Total",4
213,550,30.8,"DiaSorin Liaison Total",4
214,546,60.8,"DiaSorin Liaison Total",4
214,547,79,"DiaSorin Liaison Total",4
214,548,99.3,"DiaSorin Liaison Total",4
214,549,72.3,"DiaSorin Liaison Total",4
214,550,29.8,"DiaSorin Liaison Total",4
215,546,49.8,"LC-MS-MS",4
215,547,71,"LC-MS-MS",4
215,548,81.5,"LC-MS-MS",4
215,549,41.3,"LC-MS-MS",4
215,550,27.3,"LC-MS-MS",4
216,546,52,"IDS-iSYS",4
216,547,68.3,"IDS-iSYS",4
216,548,86.8,"IDS-iSYS",4
216,549,71.5,"IDS-iSYS",4
216,550,29.8,"IDS-iSYS",4
217,546,62.5,"Siemens ADVIA Centaur",7
217,547,80.2,"Siemens ADVIA Centaur",7
217,548,90.5,"Siemens ADVIA Centaur",7
217,549,72.9,"Siemens ADVIA Centaur",7
217,550,40.3,"Siemens ADVIA Centaur",7
218,546,46.8,"IDS-iSYS",7
218,547,63.8,"IDS-iSYS",7
218,548,86.5,"IDS-iSYS",7
218,549,60.8,"IDS-iSYS",7
218,550,20.8,"IDS-iSYS",7
219,546,55.4,"DiaSorin Liaison Total",10
219,547,71.9,"DiaSorin Liaison Total",10
219,548,93.6,"DiaSorin Liaison Total",10
219,549,66.2,"DiaSorin Liaison Total",10
219,550,28.8,"DiaSorin Liaison Total",10
220,546,57.6,"LC-MS-MS",8
220,547,76.8,"LC-MS-MS",8
220,548,99.8,"LC-MS-MS",8
220,549,68.8,"LC-MS-MS",8
220,550,28.4,"LC-MS-MS",8
221,546,49.8,"LC-MS-MS",7
221,547,64.3,"LC-MS-MS",7
221,548,79.3,"LC-MS-MS",7
221,549,50.5,"LC-MS-MS",7
221,550,22.5,"LC-MS-MS",7
222,546,64.8,"IDS-iSYS",4
222,547,77.2,"IDS-iSYS",4
222,548,94.6,"IDS-iSYS",4
222,549,68.7,"IDS-iSYS",4
222,550,30.3,"IDS-iSYS",4
223,546,52.3,"Abbott Alinity i",3
223,547,73.4,"Abbott Alinity i",3
223,548,93.6,"Abbott Alinity i",3
223,549,61,"Abbott Alinity i",3
223,550,22.2,"Abbott Alinity i",3
224,546,44,"Beckman Unicel Dxi Total 25OHD",1
224,547,63,"Beckman Unicel Dxi Total 25OHD",1
224,548,76,"Beckman Unicel Dxi Total 25OHD",1
224,549,50,"Beckman Unicel Dxi Total 25OHD",1
224,550,20,"Beckman Unicel Dxi Total 25OHD",1
225,546,56,"DiaSorin Liaison Total",8
225,547,67,"DiaSorin Liaison Total",8
225,548,92,"DiaSorin Liaison Total",8
225,549,65,"DiaSorin Liaison Total",8
225,550,23,"DiaSorin Liaison Total",8
226,546,58.1,"IDS-iSYS",4
226,547,62.2,"IDS-iSYS",4
226,548,94.7,"IDS-iSYS",4
226,549,61.2,"IDS-iSYS",4
226,550,25.6,"IDS-iSYS",4
227,546,51.3,"Abbott Architect - New (5P02)",15
227,547,74.5,"Abbott Architect - New (5P02)",15
227,548,90.3,"Abbott Architect - New (5P02)",15
227,549,61.5,"Abbott Architect - New (5P02)",15
227,550,24.5,"Abbott Architect - New (5P02)",15
228,546,54.6,"Siemens ADVIA Centaur",7
228,547,71,"Siemens ADVIA Centaur",7
228,548,89.3,"Siemens ADVIA Centaur",7
228,549,65.6,"Siemens ADVIA Centaur",7
228,550,29.6,"Siemens ADVIA Centaur",7
229,546,55,"LC-MS-MS",7
229,547,71,"LC-MS-MS",7
229,548,86,"LC-MS-MS",7
229,549,64,"LC-MS-MS",7
229,550,28,"LC-MS-MS",7
230,546,62.4,"Siemens ADVIA Centaur",8
230,547,77.4,"Siemens ADVIA Centaur",8
230,548,96.6,"Siemens ADVIA Centaur",8
230,549,71.6,"Siemens ADVIA Centaur",8
230,550,32.3,"Siemens ADVIA Centaur",8
231,546,55,"LC-MS-MS",7
231,547,75,"LC-MS-MS",7
231,548,90,"LC-MS-MS",7
231,549,65,"LC-MS-MS",7
231,550,24,"LC-MS-MS",7
232,546,52.3,"DiaSorin Liaison Total",7
232,547,70.5,"DiaSorin Liaison Total",7
232,548,87,"DiaSorin Liaison Total",7
232,549,63,"DiaSorin Liaison Total",7
232,550,26,"DiaSorin Liaison Total",7
233,546,50.3,"DiaSorin Liaison Total",4
233,547,68.5,"DiaSorin Liaison Total",4
233,548,87,"DiaSorin Liaison Total",4
233,549,63.8,"DiaSorin Liaison Total",4
233,550,27.3,"DiaSorin Liaison Total",4
234,546,56.6,"Roche Total 25OHD",1
234,547,91.5,"Roche Total 25OHD",1
234,548,104.7,"Roche Total 25OHD",1
234,549,62.5,"Roche Total 25OHD",1
234,550,26.9,"Roche Total 25OHD",1
235,546,48.8,"IDS-iSYS",3
235,547,65.3,"IDS-iSYS",3
235,548,91,"IDS-iSYS",3
235,549,64,"IDS-iSYS",3
235,550,27.5,"IDS-iSYS",3
236,546,41.8,"Siemens ADVIA Centaur",4
236,547,58,"Siemens ADVIA Centaur",4
236,548,70.2,"Siemens ADVIA Centaur",4
236,549,52.3,"Siemens ADVIA Centaur",4
236,550,24,"Siemens ADVIA Centaur",4
237,546,49.6,"Roche Total 25OHD",1
237,547,70.6,"Roche Total 25OHD",1
237,548,84.2,"Roche Total 25OHD",1
237,549,57.7,"Roche Total 25OHD",1
237,550,27.6,"Roche Total 25OHD",1
238,546,57.4,"DiaSorin Liaison Total",10
238,547,77.3,"DiaSorin Liaison Total",10
238,548,98.3,"DiaSorin Liaison Total",10
238,549,66.3,"DiaSorin Liaison Total",10
238,550,30.7,"DiaSorin Liaison Total",10
239,546,55.4,"DiaSorin Liaison Total",6
239,547,71.8,"DiaSorin Liaison Total",6
239,548,94.6,"DiaSorin Liaison Total",6
239,549,67.8,"DiaSorin Liaison Total",6
239,550,29.7,"DiaSorin Liaison Total",6
240,546,59.9,"DiaSorin Liaison Total",7
240,547,75.8,"DiaSorin Liaison Total",7
240,548,97.1,"DiaSorin Liaison Total",7
240,549,70.9,"DiaSorin Liaison Total",7
240,550,31,"DiaSorin Liaison Total",7
241,546,50.5,"DiaSorin Liaison Total",3
241,547,71.3,"DiaSorin Liaison Total",3
241,548,89.8,"DiaSorin Liaison Total",3
241,549,64.8,"DiaSorin Liaison Total",3
241,550,28,"DiaSorin Liaison Total",3
242,546,53,"DiaSorin Liaison Total",8
242,547,68.3,"DiaSorin Liaison Total",8
242,548,86.8,"DiaSorin Liaison Total",8
242,549,61.8,"DiaSorin Liaison Total",8
242,550,27.8,"DiaSorin Liaison Total",8
243,546,62.9,"DiaSorin Liaison Total",22
243,547,83.4,"DiaSorin Liaison Total",22
243,548,101.1,"DiaSorin Liaison Total",22
243,549,74.6,"DiaSorin Liaison Total",22
243,550,34.2,"DiaSorin Liaison Total",22
244,546,49,"Beckman Unicel Dxi Total 25OHD",4
244,547,74,"Beckman Unicel Dxi Total 25OHD",4
244,548,98,"Beckman Unicel Dxi Total 25OHD",4
244,549,61,"Beckman Unicel Dxi Total 25OHD",4
244,550,27,"Beckman Unicel Dxi Total 25OHD",4
245,546,77.3,"Beckman Unicel Dxi Total 25OHD",7
245,547,85.3,"Beckman Unicel Dxi Total 25OHD",7
245,548,104.7,"Beckman Unicel Dxi Total 25OHD",7
245,549,74,"Beckman Unicel Dxi Total 25OHD",7
245,550,45.4,"Beckman Unicel Dxi Total 25OHD",7
246,546,52,"Roche Vitamin D Total II",7
246,547,75,"Roche Vitamin D Total II",7
246,548,91,"Roche Vitamin D Total II",7
246,549,63,"Roche Vitamin D Total II",7
246,550,25,"Roche Vitamin D Total II",7
247,546,60,"DiaSorin Liaison Total",5
247,547,80,"DiaSorin Liaison Total",5
247,548,88,"DiaSorin Liaison Total",5
247,549,65,"DiaSorin Liaison Total",5
247,550,25,"DiaSorin Liaison Total",5
248,546,49.5,"LC-MS-MS",7
248,547,50.7,"LC-MS-MS",7
248,548,63,"LC-MS-MS",7
248,549,59.9,"LC-MS-MS",7
248,550,23.4,"LC-MS-MS",7
249,546,47.4,"Beckman Unicel Dxi Total 25OHD",7
249,547,64.9,"Beckman Unicel Dxi Total 25OHD",7
249,548,82.8,"Beckman Unicel Dxi Total 25OHD",7
249,549,53.8,"Beckman Unicel Dxi Total 25OHD",7
249,550,33.5,"Beckman Unicel Dxi Total 25OHD",7
250,546,59.7,"DiaSorin Liaison Total",4
250,547,83.5,"DiaSorin Liaison Total",4
250,548,108.7,"DiaSorin Liaison Total",4
250,549,79,"DiaSorin Liaison Total",4
250,550,25.5,"DiaSorin Liaison Total",4
251,546,40,"Roche Vitamin D Total II",1
251,547,68,"Roche Vitamin D Total II",1
251,548,83,"Roche Vitamin D Total II",1
251,549,57,"Roche Vitamin D Total II",1
251,550,21,"Roche Vitamin D Total II",1
252,546,53,"Beckman Unicel Dxi Total 25OHD",3
252,547,66,"Beckman Unicel Dxi Total 25OHD",3
252,548,91,"Beckman Unicel Dxi Total 25OHD",3
252,549,50,"Beckman Unicel Dxi Total 25OHD",3
252,550,30,"Beckman Unicel Dxi Total 25OHD",3
253,546,56.6,"Siemens ADVIA Centaur",9
253,547,72.9,"Siemens ADVIA Centaur",9
